CARD_SIDO_NM,STD_CLSS_NM,AMT
경북,피자 햄버거 샌드위치 및 유사 음식점업,2664163941
경북,한식 음식점업,41899534307
경북,호텔업,465854861
경북,화장품 및 방향제 소매업,1385361461
경북,휴양콘도 운영업,246849104
광주,건강보조식품 소매업,184891195
광주,골프장 운영업,217185000
광주,과실 및 채소 소매업,1700123611
광주,관광 민예품 및 선물용품 소매업,15202400
광주,그외 기타 스포츠시설 운영업,5568000
광주,그외 기타 종합 소매업,1443460780
광주,기타 대형 종합 소매업,10265680720
광주,기타 수상오락 서비스업,301000
광주,기타 외국식 음식점업,930275411
광주,기타 주점업,420987816
광주,기타음식료품위주종합소매업,709513128
광주,내항 여객 운송업,20347800
광주,마사지업,83613600
광주,버스 운송업,11891000
광주,비알콜 음료점업,2159558487
광주,빵 및 과자류 소매업,2087548406
광주,서양식 음식점업,3305068226
광주,수산물 소매업,853207475
광주,슈퍼마켓,18259211041
광주,스포츠 및 레크레이션 용품 임대업,4158023103
광주,여관업,524538320
광주,여행사업,3057400
광주,욕탕업,346306500
광주,육류 소매업,2466524099
광주,일반유흥 주점업,1077280675
광주,일식 음식점업,825410914
광주,자동차 임대업,4573250
광주,전시 및 행사 대행업,15134900
광주,중식 음식점업,1742467181
광주,차량용 가스 충전업,828634412
광주,차량용 주유소 운영업,15102476207
광주,체인화 편의점,8503645938
광주,택시 운송업,66900
광주,피자 햄버거 샌드위치 및 유사 음식점업,2152878356
광주,한식 음식점업,28742487797
광주,호텔업,73029050
광주,화장품 및 방향제 소매업,1190938646
대구,건강보조식품 소매업,238426139
대구,골프장 운영업,297683460
대구,과실 및 채소 소매업,2234759114
대구,관광 민예품 및 선물용품 소매업,30642780
대구,그외 기타 스포츠시설 운영업,6545700
대구,그외 기타 종합 소매업,1466774180
대구,기타 대형 종합 소매업,24724209970
대구,기타 수상오락 서비스업,822600
대구,기타 외국식 음식점업,1768689650
대구,기타 주점업,326860800
대구,기타음식료품위주종합소매업,1939342150
대구,마사지업,19392017
대구,면세점,278812540
대구,버스 운송업,2650000
대구,비알콜 음료점업,3947799628
대구,빵 및 과자류 소매업,3416108574
대구,서양식 음식점업,6011595996
대구,수산물 소매업,1102246062
대구,슈퍼마켓,29692348345
대구,스포츠 및 레크레이션 용품 임대업,4633903684
대구,여관업,828634948
대구,여행사업,1751000
대구,욕탕업,620578050
대구,육류 소매업,5343463645
대구,일반유흥 주점업,1113449545
대구,일식 음식점업,2496222736
대구,자동차 임대업,4607600
대구,전시 및 행사 대행업,90462300
대구,중식 음식점업,2944526870
대구,차량용 가스 충전업,1151338707
대구,차량용 주유소 운영업,24489988945
대구,체인화 편의점,14508490182
대구,택시 운송업,6098149156
대구,피자 햄버거 샌드위치 및 유사 음식점업,4175959609
대구,한식 음식점업,50803067358
대구,호텔업,452869082
대구,화장품 및 방향제 소매업,2223334628
대전,건강보조식품 소매업,110636870
대전,골프장 운영업,285665369
대전,과실 및 채소 소매업,821429157
대전,관광 민예품 및 선물용품 소매업,20680700
대전,그외 기타 스포츠시설 운영업,239000
대전,그외 기타 종합 소매업,1192748510
대전,기타 대형 종합 소매업,9542548800
대전,기타 수상오락 서비스업,91000
대전,기타 외국식 음식점업,1178713960
대전,기타 주점업,146923000
대전,기타음식료품위주종합소매업,1344746468
대전,마사지업,25485000
대전,비알콜 음료점업,1375961581
대전,빵 및 과자류 소매업,1960344838
대전,서양식 음식점업,2676281155
대전,수산물 소매업,621800873
대전,슈퍼마켓,8147207343
대전,스포츠 및 레크레이션 용품 임대업,1357318160
대전,여관업,390514630
대전,욕탕업,244830400
대전,육류 소매업,1714992112
대전,일반유흥 주점업,144448090
대전,일식 음식점업,925736925
대전,자동차 임대업,1841800
대전,전시 및 행사 대행업,6295850
대전,중식 음식점업,1386838883
대전,차량용 가스 충전업,456712561
대전,차량용 주유소 운영업,9511817123
대전,체인화 편의점,6599080473
대전,피자 햄버거 샌드위치 및 유사 음식점업,1614743221
대전,한식 음식점업,20026521633
대전,호텔업,106180835
대전,화장품 및 방향제 소매업,791287099
부산,건강보조식품 소매업,433761991
부산,골프장 운영업,1484813414
부산,과실 및 채소 소매업,4334701280
부산,관광 민예품 및 선물용품 소매업,90738800
부산,그외 기타 스포츠시설 운영업,9846800
부산,그외 기타 종합 소매업,1628861160
부산,기타 대형 종합 소매업,62707935470
부산,기타 수상오락 서비스업,2397900
부산,기타 외국식 음식점업,2532815671
부산,기타 주점업,1652503020
부산,기타음식료품위주종합소매업,1050595225
부산,내항 여객 운송업,1742100
부산,마사지업,37326800
부산,면세점,2763529187
부산,버스 운송업,2307000
부산,비알콜 음료점업,5256328664
부산,빵 및 과자류 소매업,4747612845
부산,서양식 음식점업,8490104595
부산,수산물 소매업,788875471
부산,슈퍼마켓,25665047298
부산,스포츠 및 레크레이션 용품 임대업,7846920745
부산,여관업,1631896945
부산,여행사업,37398700
부산,욕탕업,1551963498
부산,육류 소매업,4369250589
부산,일반유흥 주점업,4106682506
부산,일식 음식점업,4213681875
부산,자동차 임대업,16383100
부산,전시 및 행사 대행업,309543450
부산,정기 항공 운송업,4351124450
부산,중식 음식점업,3840731874
부산,차량용 가스 충전업,860803985
부산,차량용 주유소 운영업,28846931142
부산,체인화 편의점,23968042743
부산,택시 운송업,4135845651
부산,피자 햄버거 샌드위치 및 유사 음식점업,6383675742
부산,한식 음식점업,73854151256
부산,호텔업,1118979391
부산,화장품 및 방향제 소매업,3257449941
부산,휴양콘도 운영업,326591915
서울,건강보조식품 소매업,1304819043
서울,골프장 운영업,414515592
서울,과실 및 채소 소매업,6759215536
서울,관광 민예품 및 선물용품 소매업,180278065
서울,그외 기타 스포츠시설 운영업,29056800
서울,그외 기타 종합 소매업,33746015890
서울,기타 대형 종합 소매업,102329130078
서울,기타 수상오락 서비스업,5632270
서울,기타 외국식 음식점업,10630544207
서울,기타 주점업,2085082290
서울,기타음식료품위주종합소매업,25627105073
서울,내항 여객 운송업,2404287972
서울,마사지업,283735086
서울,면세점,2789966844
서울,버스 운송업,16536231080
서울,비알콜 음료점업,32518816454
서울,빵 및 과자류 소매업,15769900054
서울,서양식 음식점업,43994753316
서울,수산물 소매업,2627178557
서울,슈퍼마켓,79974928689
서울,스포츠 및 레크레이션 용품 임대업,21372274307
서울,여관업,3609498691
서울,여행사업,8116983889
서울,욕탕업,2622295316
서울,육류 소매업,11539996164
서울,일반유흥 주점업,5300592364
서울,일식 음식점업,19296781408
서울,자동차 임대업,306921498
서울,전시 및 행사 대행업,897680726
서울,정기 항공 운송업,32769845517
서울,중식 음식점업,19375090820
서울,차량용 가스 충전업,821868149
서울,차량용 주유소 운영업,33483401137
서울,체인화 편의점,85138047676
서울,택시 운송업,108539754279
서울,피자 햄버거 샌드위치 및 유사 음식점업,20409511296
서울,한식 음식점업,203093299733
서울,호텔업,8566451767
서울,화장품 및 방향제 소매업,20988287998
세종,건강보조식품 소매업,11580550
세종,골프장 운영업,193434680
세종,과실 및 채소 소매업,341356068
세종,관광 민예품 및 선물용품 소매업,323900
세종,그외 기타 종합 소매업,12862830
세종,기타 대형 종합 소매업,1566855400
세종,기타 외국식 음식점업,181398821
세종,기타 주점업,7182000
세종,기타음식료품위주종합소매업,539319470
세종,마사지업,4438000
세종,비알콜 음료점업,280819876
세종,빵 및 과자류 소매업,301834140
세종,서양식 음식점업,503147378
세종,수산물 소매업,34335000
세종,슈퍼마켓,1408214343
세종,스포츠 및 레크레이션 용품 임대업,178197345
세종,여관업,5847330
세종,욕탕업,33062000
세종,육류 소매업,300031153
세종,일반유흥 주점업,17411000
세종,일식 음식점업,153053810
세종,전시 및 행사 대행업,8523460
세종,중식 음식점업,329228520
세종,차량용 가스 충전업,45459106
세종,차량용 주유소 운영업,2328988392
세종,체인화 편의점,1263263510
세종,피자 햄버거 샌드위치 및 유사 음식점업,324463023
세종,한식 음식점업,3220744183
세종,화장품 및 방향제 소매업,63204897
울산,건강보조식품 소매업,95515014
울산,골프장 운영업,655937690
울산,과실 및 채소 소매업,740830745
울산,관광 민예품 및 선물용품 소매업,8966500
울산,그외 기타 스포츠시설 운영업,2030700
울산,그외 기타 종합 소매업,2049506930
울산,기타 대형 종합 소매업,9206687540
울산,기타 수상오락 서비스업,780000
울산,기타 외국식 음식점업,860651958
울산,기타 주점업,435420719
울산,기타음식료품위주종합소매업,1424352450
울산,마사지업,47974900
울산,면세점,791000
울산,버스 운송업,18267300
울산,비알콜 음료점업,1254023051
울산,빵 및 과자류 소매업,1220846717
울산,서양식 음식점업,1936992437
울산,수산물 소매업,337420034
울산,슈퍼마켓,9312869082
울산,스포츠 및 레크레이션 용품 임대업,1761245960
울산,여관업,376675819
울산,여행사업,693000
울산,욕탕업,500154300
울산,육류 소매업,2506313855
울산,일반유흥 주점업,1445257735
울산,일식 음식점업,766451348
울산,자동차 임대업,4831000
울산,전시 및 행사 대행업,22629300
울산,중식 음식점업,1047746682
울산,차량용 가스 충전업,300105048
울산,차량용 주유소 운영업,13059800916
울산,체인화 편의점,6522931800
울산,피자 햄버거 샌드위치 및 유사 음식점업,1623783343
울산,한식 음식점업,21986203423
울산,호텔업,171259457
울산,화장품 및 방향제 소매업,675039926
인천,건강보조식품 소매업,403589213
인천,골프장 운영업,2302492143
인천,과실 및 채소 소매업,2846082890
인천,관광 민예품 및 선물용품 소매업,13782000
인천,그외 기타 스포츠시설 운영업,9210000
인천,그외 기타 종합 소매업,725818330
인천,기타 대형 종합 소매업,25732566070
인천,기타 수상오락 서비스업,13971600
인천,기타 외국식 음식점업,3104743026
인천,기타 주점업,563815536
인천,기타음식료품위주종합소매업,1238122581
인천,내항 여객 운송업,999286740
인천,마사지업,93360366
인천,면세점,15685389222
인천,비알콜 음료점업,3315523445
인천,빵 및 과자류 소매업,3525580424
인천,서양식 음식점업,4365821361
인천,수산물 소매업,1163460488
인천,슈퍼마켓,26932931707
인천,스포츠 및 레크레이션 용품 임대업,6661460495
인천,여관업,1160199659
인천,여행사업,3713500
인천,욕탕업,732450860
인천,육류 소매업,3674839438
인천,일반유흥 주점업,1767940355
인천,일식 음식점업,2752901827
인천,자동차 임대업,1094500
인천,전시 및 행사 대행업,176540086
인천,정기 항공 운송업,383083276
인천,중식 음식점업,3454163264
인천,차량용 가스 충전업,640729579
인천,차량용 주유소 운영업,24475699670
인천,체인화 편의점,19471910822
인천,택시 운송업,134136267
인천,피자 햄버거 샌드위치 및 유사 음식점업,4198884538
인천,한식 음식점업,49617140513
인천,호텔업,704579154
인천,화장품 및 방향제 소매업,1512872460
전남,건강보조식품 소매업,152039570
전남,골프장 운영업,3223656079
전남,과실 및 채소 소매업,2136412846
전남,관광 민예품 및 선물용품 소매업,9536900
전남,그외 기타 스포츠시설 운영업,4750000
전남,그외 기타 종합 소매업,2689699170
전남,기타 대형 종합 소매업,9654457905
전남,기타 외국식 음식점업,628927085
전남,기타 주점업,649279666
전남,기타음식료품위주종합소매업,8015983182
전남,내항 여객 운송업,45455400
전남,마사지업,97042200
전남,면세점,40998560
전남,버스 운송업,2980490
전남,비알콜 음료점업,1292425663
전남,빵 및 과자류 소매업,1432507677
전남,서양식 음식점업,2060760001
전남,수산물 소매업,940092637
전남,슈퍼마켓,11688467456
전남,스포츠 및 레크레이션 용품 임대업,3785717738
전남,여관업,666379518
전남,여행사업,5723000
전남,욕탕업,254142985
전남,육류 소매업,2087659482
전남,일반유흥 주점업,1884143548
전남,일식 음식점업,1134504820
전남,자동차 임대업,4080667
전남,전시 및 행사 대행업,351548960
전남,중식 음식점업,1200338318
전남,차량용 가스 충전업,888651425
전남,차량용 주유소 운영업,26288652886
전남,체인화 편의점,6761960871
전남,피자 햄버거 샌드위치 및 유사 음식점업,1447864364
전남,한식 음식점업,27533925596
전남,호텔업,49239140
전남,화장품 및 방향제 소매업,789277547
전남,휴양콘도 운영업,95786490
전북,건강보조식품 소매업,183294103
전북,골프장 운영업,1684955690
전북,과실 및 채소 소매업,1576234948
전북,관광 민예품 및 선물용품 소매업,36897962
전북,그외 기타 스포츠시설 운영업,5566000
전북,그외 기타 종합 소매업,638199550
전북,기타 대형 종합 소매업,12044527640
전북,기타 수상오락 서비스업,2212750
전북,기타 외국식 음식점업,1527007164
전북,기타 주점업,307706585
전북,기타음식료품위주종합소매업,3896223041
전북,마사지업,37112000
전북,비알콜 음료점업,1907372990
전북,빵 및 과자류 소매업,1941676796
전북,서양식 음식점업,2860164008
전북,수산물 소매업,944624569
전북,슈퍼마켓,15653086424
전북,스포츠 및 레크레이션 용품 임대업,4930421496
전북,여관업,487220829
전북,여행사업,114100
전북,욕탕업,379145023
전북,육류 소매업,2522848664
전북,일반유흥 주점업,969951200
전북,일식 음식점업,1319889897
전북,자동차 임대업,3950000
전북,전시 및 행사 대행업,42884250
전북,정기 항공 운송업,2018624209
전북,중식 음식점업,1993099981
전북,차량용 가스 충전업,1148267859
전북,차량용 주유소 운영업,27646279866
전북,체인화 편의점,8834363793
전북,택시 운송업,165000
전북,피자 햄버거 샌드위치 및 유사 음식점업,1906730453
전북,한식 음식점업,27648988001
전북,호텔업,5350850
전북,화장품 및 방향제 소매업,1090805468
전북,휴양콘도 운영업,93292261
제주,건강보조식품 소매업,103781095
제주,골프장 운영업,1635016495
제주,과실 및 채소 소매업,1194382265
제주,관광 민예품 및 선물용품 소매업,396348642
제주,그외 기타 스포츠시설 운영업,7072100
제주,그외 기타 종합 소매업,2225152036
제주,기타 대형 종합 소매업,5132673840
제주,기타 수상오락 서비스업,59000
제주,기타 외국식 음식점업,458779981
제주,기타 주점업,1135922028
제주,기타음식료품위주종합소매업,2725774043
제주,내항 여객 운송업,185034400
제주,마사지업,3515000
제주,면세점,7768601717
제주,비알콜 음료점업,886764889
제주,빵 및 과자류 소매업,1071183739
제주,서양식 음식점업,2040139305
제주,수산물 소매업,1061291620
제주,슈퍼마켓,9787522482
제주,스포츠 및 레크레이션 용품 임대업,2577981260
제주,여관업,595731069
제주,여행사업,38257008
제주,욕탕업,194626104
제주,육류 소매업,859953906
제주,일반유흥 주점업,2053087151
제주,일식 음식점업,1364122572
제주,자동차 임대업,387092651
제주,전시 및 행사 대행업,448814911
제주,정기 항공 운송업,3764280616
제주,중식 음식점업,817315753
제주,차량용 가스 충전업,484979392
제주,차량용 주유소 운영업,8733975754
제주,체인화 편의점,6339395626
제주,피자 햄버거 샌드위치 및 유사 음식점업,1019581358
제주,한식 음식점업,20400616056
제주,호텔업,1177883081
제주,화장품 및 방향제 소매업,629283746
제주,휴양콘도 운영업,402519272
충남,건강보조식품 소매업,1038819537
충남,골프장 운영업,1675178700
충남,과실 및 채소 소매업,1307083396
충남,관광 민예품 및 선물용품 소매업,32761518
충남,그외 기타 분류안된 오락관련 서비스업,751000
충남,그외 기타 스포츠시설 운영업,6434300
충남,그외 기타 종합 소매업,1783823169
충남,기타 대형 종합 소매업,11450696692
충남,기타 수상오락 서비스업,3953500
충남,기타 외국식 음식점업,1595752044
충남,기타 주점업,178154100
충남,기타음식료품위주종합소매업,6457000428
충남,내항 여객 운송업,2039600
충남,마사지업,38958000
충남,비알콜 음료점업,1611335309
충남,빵 및 과자류 소매업,2095406506
충남,서양식 음식점업,2548990739
충남,수산물 소매업,1527335310
충남,슈퍼마켓,13277886385
충남,스포츠 및 레크레이션 용품 임대업,3901207470
충남,여관업,560477643
충남,여행사업,23226100
충남,욕탕업,373812428
충남,육류 소매업,2325612789
충남,일반유흥 주점업,1100810148
충남,일식 음식점업,1507280428
충남,자동차 임대업,474600
충남,전시 및 행사 대행업,41260150
충남,정기 항공 운송업,8426500
충남,중식 음식점업,2183337293
충남,차량용 가스 충전업,905223241
충남,차량용 주유소 운영업,32264983904
충남,체인화 편의점,13256669777
충남,택시 운송업,64120
충남,피자 햄버거 샌드위치 및 유사 음식점업,2296957680
충남,한식 음식점업,31692368306
충남,호텔업,66409991
충남,화장품 및 방향제 소매업,1426178394
충남,휴양콘도 운영업,125326675
충북,건강보조식품 소매업,160159178
충북,골프장 운영업,3149986523
충북,과실 및 채소 소매업,650392025
충북,관광 민예품 및 선물용품 소매업,16875270
충북,그외 기타 스포츠시설 운영업,4220300
충북,그외 기타 종합 소매업,1706526210
충북,기타 대형 종합 소매업,8183175868
충북,기타 수상오락 서비스업,2256700
충북,기타 외국식 음식점업,1266702987
충북,기타 주점업,200721212
충북,기타음식료품위주종합소매업,2962236083
충북,내항 여객 운송업,6770500
충북,마사지업,20750000
충북,면세점,11898372
충북,버스 운송업,44000
충북,비알콜 음료점업,921725664
충북,빵 및 과자류 소매업,1304220229
충북,서양식 음식점업,1471997319
충북,수산물 소매업,198679185
충북,슈퍼마켓,10823701619
충북,스포츠 및 레크레이션 용품 임대업,2700191238
충북,여관업,269113090
충북,여행사업,547500
충북,욕탕업,222019870
충북,육류 소매업,1902856983
충북,일반유흥 주점업,618296460
충북,일식 음식점업,870703370
충북,자동차 임대업,989500
충북,전시 및 행사 대행업,35106050
충북,중식 음식점업,1416192095
충북,차량용 가스 충전업,676034137
충북,차량용 주유소 운영업,22464873763
충북,체인화 편의점,7988855930
충북,택시 운송업,44700
충북,피자 햄버거 샌드위치 및 유사 음식점업,1428268910
충북,한식 음식점업,22162873793
충북,호텔업,40510930
충북,화장품 및 방향제 소매업,687254347
충북,휴양콘도 운영업,101930350
