,CARD_SIDO_NM,CARD_CCG_NM,STD_CLSS_NM,REG_YYMM,LP
639,경기,고양시 일산동구,체인화 편의점,201901,10.26848431348743
640,경기,고양시 일산동구,피자 햄버거 샌드위치 및 유사 음식점업,201901,2.0732166069231184
641,경기,고양시 일산동구,한식 음식점업,201901,29.99801650549546
642,경기,고양시 일산동구,호텔업,201901,0.33941359024864537
643,경기,고양시 일산동구,화장품 및 방향제 소매업,201901,1.0997189377562069
644,경기,고양시 일산동구,휴양콘도 운영업,201901,0.003914234808556359
645,경기,고양시 일산서구,건강보조식품 소매업,201901,0.11212684958192946
646,경기,고양시 일산서구,과실 및 채소 소매업,201901,0.5124790238699503
647,경기,고양시 일산서구,관광 민예품 및 선물용품 소매업,201901,0.006577017573205032
648,경기,고양시 일산서구,그외 기타 스포츠시설 운영업,201901,0.0
649,경기,고양시 일산서구,그외 기타 종합 소매업,201901,11.704807967668716
650,경기,고양시 일산서구,기타 대형 종합 소매업,201901,20.78381215207719
651,경기,고양시 일산서구,기타 수상오락 서비스업,201901,0.0
652,경기,고양시 일산서구,기타 외국식 음식점업,201901,0.9549578294937424
653,경기,고양시 일산서구,기타 주점업,201901,0.022211675883052267
654,경기,고양시 일산서구,기타음식료품위주종합소매업,201901,0.9946061681053744
655,경기,고양시 일산서구,마사지업,201901,0.014541941216976164
656,경기,고양시 일산서구,비알콜 음료점업,201901,1.2840839278562857
657,경기,고양시 일산서구,빵 및 과자류 소매업,201901,1.68931676188027
658,경기,고양시 일산서구,서양식 음식점업,201901,2.276273109327309
659,경기,고양시 일산서구,수산물 소매업,201901,0.04882011390756207
660,경기,고양시 일산서구,슈퍼마켓,201901,14.11793409985432
661,경기,고양시 일산서구,스포츠 및 레크레이션 용품 임대업,201901,1.9781911191094952
662,경기,고양시 일산서구,여관업,201901,0.3824302674888967
663,경기,고양시 일산서구,욕탕업,201901,0.4755798423526403
664,경기,고양시 일산서구,육류 소매업,201901,1.4647347763219365
665,경기,고양시 일산서구,일반유흥 주점업,201901,0.2270624688954131
666,경기,고양시 일산서구,일식 음식점업,201901,0.6493414358092405
667,경기,고양시 일산서구,자동차 임대업,201901,0.0013283503996276305
668,경기,고양시 일산서구,전시 및 행사 대행업,201901,0.454612879992202
669,경기,고양시 일산서구,중식 음식점업,201901,1.1471656319826393
670,경기,고양시 일산서구,차량용 가스 충전업,201901,0.19397951119676035
671,경기,고양시 일산서구,차량용 주유소 운영업,201901,9.750149417436148
672,경기,고양시 일산서구,체인화 편의점,201901,6.902409044196857
673,경기,고양시 일산서구,피자 햄버거 샌드위치 및 유사 음식점업,201901,2.0363978178499313
674,경기,고양시 일산서구,한식 음식점업,201901,19.304414111868443
675,경기,고양시 일산서구,화장품 및 방향제 소매업,201901,0.5096546868038883
676,경기,과천시,건강보조식품 소매업,201901,0.22462799202360934
677,경기,과천시,과실 및 채소 소매업,201901,0.5603031772874963
678,경기,과천시,관광 민예품 및 선물용품 소매업,201901,0.0
679,경기,과천시,기타 대형 종합 소매업,201901,21.596352447884986
680,경기,과천시,기타 외국식 음식점업,201901,1.7897421245371055
681,경기,과천시,기타 주점업,201901,0.0
682,경기,과천시,기타음식료품위주종합소매업,201901,2.9629275664269112
683,경기,과천시,마사지업,201901,0.0
684,경기,과천시,비알콜 음료점업,201901,1.322734648177055
685,경기,과천시,빵 및 과자류 소매업,201901,2.528878054209561
686,경기,과천시,서양식 음식점업,201901,3.206157719344919
687,경기,과천시,수산물 소매업,201901,0.0
688,경기,과천시,슈퍼마켓,201901,7.665560464603279
689,경기,과천시,스포츠 및 레크레이션 용품 임대업,201901,2.1854972393160352
690,경기,과천시,여관업,201901,0.0
691,경기,과천시,욕탕업,201901,0.10883378528027872
692,경기,과천시,육류 소매업,201901,1.417962472500477
693,경기,과천시,일식 음식점업,201901,0.11817018389230012
694,경기,과천시,전시 및 행사 대행업,201901,0.27655843815601944
695,경기,과천시,중식 음식점업,201901,1.3654619267871264
696,경기,과천시,차량용 가스 충전업,201901,0.7247421334152028
697,경기,과천시,차량용 주유소 운영업,201901,6.56307592343643
698,경기,과천시,체인화 편의점,201901,8.114854203138314
699,경기,과천시,피자 햄버거 샌드위치 및 유사 음식점업,201901,2.224816425762691
700,경기,과천시,한식 음식점업,201901,34.479714111105814
701,경기,과천시,화장품 및 방향제 소매업,201901,0.5630289627143892
702,경기,광명시,건강보조식품 소매업,201901,0.2488361754491616
703,경기,광명시,과실 및 채소 소매업,201901,0.7921557230761784
704,경기,광명시,관광 민예품 및 선물용품 소매업,201901,0.010605196623944733
705,경기,광명시,그외 기타 스포츠시설 운영업,201901,0.0
706,경기,광명시,그외 기타 종합 소매업,201901,0.0
707,경기,광명시,기타 대형 종합 소매업,201901,20.977480094349744
708,경기,광명시,기타 수상오락 서비스업,201901,0.004747692257603974
709,경기,광명시,기타 외국식 음식점업,201901,1.5242288052186703
710,경기,광명시,기타 주점업,201901,0.32204829382530337
711,경기,광명시,기타음식료품위주종합소매업,201901,0.6914707769597648
712,경기,광명시,마사지업,201901,0.07593232934820254
713,경기,광명시,비알콜 음료점업,201901,1.400466194780317
714,경기,광명시,빵 및 과자류 소매업,201901,2.3298146750186715
715,경기,광명시,서양식 음식점업,201901,2.1426441796185802
716,경기,광명시,수산물 소매업,201901,0.31339454122808863
717,경기,광명시,슈퍼마켓,201901,10.857286447363743
718,경기,광명시,스포츠 및 레크레이션 용품 임대업,201901,0.8581959564444819
719,경기,광명시,여관업,201901,0.5984932660795981
720,경기,광명시,욕탕업,201901,0.3939947676361034
721,경기,광명시,육류 소매업,201901,2.845633381178485
722,경기,광명시,일반유흥 주점업,201901,1.2576992086441812
723,경기,광명시,일식 음식점업,201901,1.4270100258420042
724,경기,광명시,전시 및 행사 대행업,201901,0.05668255535467907
725,경기,광명시,중식 음식점업,201901,1.5896368751637344
726,경기,광명시,차량용 가스 충전업,201901,0.23030977054593169
727,경기,광명시,차량용 주유소 운영업,201901,10.353424727043748
728,경기,광명시,체인화 편의점,201901,7.7493236155178735
729,경기,광명시,택시 운송업,201901,0.010882210411508057
730,경기,광명시,피자 햄버거 샌드위치 및 유사 음식점업,201901,2.4407009466885183
731,경기,광명시,한식 음식점업,201901,27.464372592309545
732,경기,광명시,호텔업,201901,0.001532946276843553
733,경기,광명시,화장품 및 방향제 소매업,201901,1.0309960297447898
734,경기,광주시,건강보조식품 소매업,201901,0.11823638193447783
735,경기,광주시,골프장 운영업,201901,0.02868857971587052
736,경기,광주시,과실 및 채소 소매업,201901,0.698481940443242
737,경기,광주시,관광 민예품 및 선물용품 소매업,201901,0.017482657098444047
738,경기,광주시,그외 기타 스포츠시설 운영업,201901,0.0
739,경기,광주시,그외 기타 종합 소매업,201901,0.1388624847052785
740,경기,광주시,기타 대형 종합 소매업,201901,6.341106361552153
741,경기,광주시,기타 수상오락 서비스업,201901,0.0016990152850668288
742,경기,광주시,기타 외국식 음식점업,201901,1.2486763780441852
743,경기,광주시,기타 주점업,201901,0.10301132616777825
744,경기,광주시,기타음식료품위주종합소매업,201901,1.7752910927659558
745,경기,광주시,마사지업,201901,0.02217098246721177
746,경기,광주시,버스 운송업,201901,0.0
747,경기,광주시,비알콜 음료점업,201901,0.7359416394114029
748,경기,광주시,빵 및 과자류 소매업,201901,1.313181421280303
749,경기,광주시,서양식 음식점업,201901,1.663789996615917
750,경기,광주시,수산물 소매업,201901,0.20059465855022185
751,경기,광주시,슈퍼마켓,201901,22.498831525795403
752,경기,광주시,스포츠 및 레크레이션 용품 임대업,201901,2.81756631983972
753,경기,광주시,여관업,201901,0.257839239818294
754,경기,광주시,여행사업,201901,0.0049872273575272555
755,경기,광주시,욕탕업,201901,0.5599988871460247
756,경기,광주시,육류 소매업,201901,3.0672951879185453
757,경기,광주시,일반유흥 주점업,201901,0.2120964568255924
758,경기,광주시,일식 음식점업,201901,1.355800350983434
759,경기,광주시,전시 및 행사 대행업,201901,0.005617367472526543
760,경기,광주시,중식 음식점업,201901,1.539983822787595
761,경기,광주시,차량용 가스 충전업,201901,0.4745823705801844
762,경기,광주시,차량용 주유소 운영업,201901,19.648831127289817
763,경기,광주시,체인화 편의점,201901,9.193788818796154
764,경기,광주시,피자 햄버거 샌드위치 및 유사 음식점업,201901,1.274346739998579
765,경기,광주시,한식 음식점업,201901,22.333729621155296
766,경기,광주시,화장품 및 방향제 소매업,201901,0.34749002019779984
767,경기,구리시,건강보조식품 소매업,201901,0.02582414008900024
768,경기,구리시,과실 및 채소 소매업,201901,2.0633517851390235
769,경기,구리시,관광 민예품 및 선물용품 소매업,201901,0.01816394572552152
770,경기,구리시,그외 기타 스포츠시설 운영업,201901,0.0
771,경기,구리시,그외 기타 종합 소매업,201901,0.2023123351960083
772,경기,구리시,기타 대형 종합 소매업,201901,9.420542977760554
773,경기,구리시,기타 수상오락 서비스업,201901,0.004090863341692494
774,경기,구리시,기타 외국식 음식점업,201901,2.0645881860303184
775,경기,구리시,기타 주점업,201901,0.3688936772030628
776,경기,구리시,기타음식료품위주종합소매업,201901,0.37863524525521486
777,경기,구리시,마사지업,201901,0.019745876851942398
778,경기,구리시,비알콜 음료점업,201901,1.8508123594181323
779,경기,구리시,빵 및 과자류 소매업,201901,1.4471411737070494
780,경기,구리시,서양식 음식점업,201901,2.4181543524248874
781,경기,구리시,수산물 소매업,201901,3.7410907576806762
782,경기,구리시,슈퍼마켓,201901,15.993563366884441
783,경기,구리시,스포츠 및 레크레이션 용품 임대업,201901,5.162462733070576
784,경기,구리시,여관업,201901,0.9191894089434645
785,경기,구리시,욕탕업,201901,0.271749238707459
786,경기,구리시,육류 소매업,201901,2.9055924088451803
787,경기,구리시,일반유흥 주점업,201901,1.4240424921852126
788,경기,구리시,일식 음식점업,201901,1.6075207276978083
789,경기,구리시,전시 및 행사 대행업,201901,0.022925565952642588
790,경기,구리시,중식 음식점업,201901,1.4564553188912992
791,경기,구리시,차량용 가스 충전업,201901,0.7177302915789097
792,경기,구리시,차량용 주유소 운영업,201901,7.016538520687769
793,경기,구리시,체인화 편의점,201901,7.677905736721435
794,경기,구리시,피자 햄버거 샌드위치 및 유사 음식점업,201901,2.035607064598998
795,경기,구리시,한식 음식점업,201901,27.43150489963686
796,경기,구리시,화장품 및 방향제 소매업,201901,1.3338645497748582
797,경기,군포시,건강보조식품 소매업,201901,0.2719771313983268
798,경기,군포시,골프장 운영업,201901,0.02121750121690478
799,경기,군포시,과실 및 채소 소매업,201901,1.1756018310272673
800,경기,군포시,관광 민예품 및 선물용품 소매업,201901,0.0
801,경기,군포시,그외 기타 스포츠시설 운영업,201901,0.003626068332195407
802,경기,군포시,그외 기타 종합 소매업,201901,0.000531406565925189
803,경기,군포시,기타 대형 종합 소매업,201901,28.90825485904197
804,경기,군포시,기타 수상오락 서비스업,201901,0.006857020253020557
805,경기,군포시,기타 외국식 음식점업,201901,1.842940214682221
806,경기,군포시,기타 주점업,201901,0.3020548993257413
807,경기,군포시,기타음식료품위주종합소매업,201901,1.1123514145916997
808,경기,군포시,마사지업,201901,0.07362794266942295
809,경기,군포시,비알콜 음료점업,201901,1.5917274259887457
810,경기,군포시,빵 및 과자류 소매업,201901,2.1639979752354526
811,경기,군포시,서양식 음식점업,201901,1.8858177162375553
812,경기,군포시,수산물 소매업,201901,0.41993547369890627
813,경기,군포시,슈퍼마켓,201901,9.675863787456311
814,경기,군포시,스포츠 및 레크레이션 용품 임대업,201901,1.9549902399769483
815,경기,군포시,여관업,201901,0.4994190165774686
816,경기,군포시,여행사업,201901,0.0
817,경기,군포시,욕탕업,201901,0.6819097204923549
818,경기,군포시,육류 소매업,201901,2.5623310593195177
819,경기,군포시,일반유흥 주점업,201901,0.7061605529059802
820,경기,군포시,일식 음식점업,201901,1.5990016066478592
821,경기,군포시,전시 및 행사 대행업,201901,0.011479007008179288
822,경기,군포시,중식 음식점업,201901,2.1295033997539043
823,경기,군포시,차량용 가스 충전업,201901,0.7588687508351493
824,경기,군포시,차량용 주유소 운영업,201901,4.48676462777184
825,경기,군포시,체인화 편의점,201901,8.330660550029883
826,경기,군포시,택시 운송업,201901,0.0452245743128192
827,경기,군포시,피자 햄버거 샌드위치 및 유사 음식점업,201901,2.3587383757233167
828,경기,군포시,한식 음식점업,201901,23.37832063690681
829,경기,군포시,화장품 및 방향제 소매업,201901,1.040245214016302
830,경기,김포시,건강보조식품 소매업,201901,0.18745303139607739
831,경기,김포시,골프장 운영업,201901,0.10209546989291315
832,경기,김포시,과실 및 채소 소매업,201901,0.7046478635749799
833,경기,김포시,관광 민예품 및 선물용품 소매업,201901,0.005636533606221271
834,경기,김포시,그외 기타 스포츠시설 운영업,201901,0.0015611390454548708
835,경기,김포시,그외 기타 종합 소매업,201901,0.07840533277551874
836,경기,김포시,기타 대형 종합 소매업,201901,20.368267761050205
837,경기,김포시,기타 수상오락 서비스업,201901,0.009138414980815303
838,경기,김포시,기타 외국식 음식점업,201901,1.491001445905128
839,경기,김포시,기타 주점업,201901,0.12791809008031377
840,경기,김포시,기타음식료품위주종합소매업,201901,3.1696856439952197
841,경기,김포시,마사지업,201901,0.026782572802972096
842,경기,김포시,비알콜 음료점업,201901,0.9041592216965808
843,경기,김포시,빵 및 과자류 소매업,201901,1.5908161343785425
844,경기,김포시,서양식 음식점업,201901,2.3090718094107
845,경기,김포시,수산물 소매업,201901,0.10691912661468736
846,경기,김포시,슈퍼마켓,201901,15.293079560352343
847,경기,김포시,스포츠 및 레크레이션 용품 임대업,201901,2.0527849070446944
848,경기,김포시,여관업,201901,0.35594569385103664
849,경기,김포시,여행사업,201901,0.0
850,경기,김포시,욕탕업,201901,0.6191893210251387
851,경기,김포시,육류 소매업,201901,1.6301936286197416
852,경기,김포시,일반유흥 주점업,201901,0.4341238463860523
853,경기,김포시,일식 음식점업,201901,1.0170734706263176
854,경기,김포시,전시 및 행사 대행업,201901,0.04515504307244004
855,경기,김포시,중식 음식점업,201901,1.6548461142903161
856,경기,김포시,차량용 가스 충전업,201901,0.27353613802218163
857,경기,김포시,차량용 주유소 운영업,201901,14.200156210103575
858,경기,김포시,체인화 편의점,201901,9.099727224097254
859,경기,김포시,택시 운송업,201901,0.0017035149264003555
860,경기,김포시,피자 햄버거 샌드위치 및 유사 음식점업,201901,1.8237037184683664
861,경기,김포시,한식 음식점업,201901,19.78933109566871
862,경기,김포시,호텔업,201901,0.017221828627754787
863,경기,김포시,화장품 및 방향제 소매업,201901,0.5086690936113452
864,경기,남양주시,건강보조식품 소매업,201901,0.09191496376809441
865,경기,남양주시,골프장 운영업,201901,0.006994080093047502
866,경기,남양주시,과실 및 채소 소매업,201901,1.0351983028689111
867,경기,남양주시,관광 민예품 및 선물용품 소매업,201901,0.00860980338961168
868,경기,남양주시,그외 기타 스포츠시설 운영업,201901,0.000806431804656811
869,경기,남양주시,그외 기타 종합 소매업,201901,0.02640492222800945
870,경기,남양주시,기타 대형 종합 소매업,201901,14.94347428093328
871,경기,남양주시,기타 수상오락 서비스업,201901,0.003598344467374699
872,경기,남양주시,기타 외국식 음식점업,201901,1.2693514395317724
873,경기,남양주시,기타 주점업,201901,0.08434047011192504
874,경기,남양주시,기타음식료품위주종합소매업,201901,3.263078803454464
875,경기,남양주시,마사지업,201901,0.008061458359317554
876,경기,남양주시,비알콜 음료점업,201901,1.1002508087473435
877,경기,남양주시,빵 및 과자류 소매업,201901,1.6651860858505902
878,경기,남양주시,서양식 음식점업,201901,2.0442899660481695
879,경기,남양주시,수산물 소매업,201901,0.4775884749785572
880,경기,남양주시,슈퍼마켓,201901,14.739408554403463
881,경기,남양주시,스포츠 및 레크레이션 용품 임대업,201901,2.148475287309699
882,경기,남양주시,여관업,201901,0.2467226631977003
883,경기,남양주시,욕탕업,201901,0.4980056696538624
884,경기,남양주시,육류 소매업,201901,2.560313429807569
885,경기,남양주시,일반유흥 주점업,201901,0.36212687212656947
886,경기,남양주시,일식 음식점업,201901,0.6475039421884724
887,경기,남양주시,전시 및 행사 대행업,201901,0.20724053415726051
888,경기,남양주시,중식 음식점업,201901,1.3915359840898336
889,경기,남양주시,차량용 가스 충전업,201901,0.35800773571555977
890,경기,남양주시,차량용 주유소 운영업,201901,16.084616506914383
891,경기,남양주시,체인화 편의점,201901,8.017022013714572
892,경기,남양주시,택시 운송업,201901,0.0008007124301556989
893,경기,남양주시,피자 햄버거 샌드위치 및 유사 음식점업,201901,1.9862506429736186
894,경기,남양주시,한식 음식점업,201901,24.141702664657377
895,경기,남양주시,호텔업,201901,0.0010066099121957357
896,경기,남양주시,화장품 및 방향제 소매업,201901,0.5801115401125814
897,경기,동두천시,건강보조식품 소매업,201901,0.17930861880599683
898,경기,동두천시,골프장 운영업,201901,0.0
899,경기,동두천시,과실 및 채소 소매업,201901,0.949200554122052
900,경기,동두천시,관광 민예품 및 선물용품 소매업,201901,0.2837569004720235
901,경기,동두천시,그외 기타 스포츠시설 운영업,201901,0.006376604481069606
902,경기,동두천시,그외 기타 종합 소매업,201901,0.0339819047580512
903,경기,동두천시,기타 대형 종합 소매업,201901,8.956582452087961
904,경기,동두천시,기타 수상오락 서비스업,201901,0.007060240447378636
905,경기,동두천시,기타 외국식 음식점업,201901,1.6145206935429628
906,경기,동두천시,기타 주점업,201901,0.28792668007939376
907,경기,동두천시,기타음식료품위주종합소매업,201901,3.765109492749505
908,경기,동두천시,마사지업,201901,0.009195103640413852
909,경기,동두천시,비알콜 음료점업,201901,1.0818704278918811
910,경기,동두천시,빵 및 과자류 소매업,201901,1.491262967838173
911,경기,동두천시,서양식 음식점업,201901,2.095495476202706
912,경기,동두천시,수산물 소매업,201901,0.19956493239193504
913,경기,동두천시,슈퍼마켓,201901,13.240227986262138
914,경기,동두천시,스포츠 및 레크레이션 용품 임대업,201901,0.9315199689699953
915,경기,동두천시,여관업,201901,0.5241408968593296
916,경기,동두천시,욕탕업,201901,1.2548537948717045
917,경기,동두천시,육류 소매업,201901,1.5584925083498766
918,경기,동두천시,일반유흥 주점업,201901,2.642560845862797
919,경기,동두천시,일식 음식점업,201901,1.3562458039918592
920,경기,동두천시,전시 및 행사 대행업,201901,0.0049133836408994025
921,경기,동두천시,중식 음식점업,201901,1.4217986573334451
922,경기,동두천시,차량용 가스 충전업,201901,0.4174206050305354
923,경기,동두천시,차량용 주유소 운영업,201901,11.723005801613462
924,경기,동두천시,체인화 편의점,201901,10.837076995513366
925,경기,동두천시,피자 햄버거 샌드위치 및 유사 음식점업,201901,3.1176701518677428
926,경기,동두천시,한식 음식점업,201901,28.91736072951403
927,경기,동두천시,화장품 및 방향제 소매업,201901,1.0914988208073158
928,경기,부천시,건강보조식품 소매업,201901,0.1621359280141187
929,경기,부천시,과실 및 채소 소매업,201901,0.9735528662269479
930,경기,부천시,관광 민예품 및 선물용품 소매업,201901,0.010613416055099148
931,경기,부천시,그외 기타 스포츠시설 운영업,201901,0.0
932,경기,부천시,그외 기타 종합 소매업,201901,0.3163144006233927
933,경기,부천시,기타 대형 종합 소매업,201901,19.47435319608838
934,경기,부천시,기타 수상오락 서비스업,201901,0.0062539083258011845
935,경기,부천시,기타 외국식 음식점업,201901,1.4640118644937754
936,경기,부천시,기타 주점업,201901,0.2692097020826783
937,경기,부천시,기타음식료품위주종합소매업,201901,0.29788794049574235
938,경기,부천시,마사지업,201901,0.04670027889089131
939,경기,부천시,비알콜 음료점업,201901,1.5213816700434803
940,경기,부천시,빵 및 과자류 소매업,201901,1.7864658650906973
941,경기,부천시,서양식 음식점업,201901,2.9040648958682707
942,경기,부천시,수산물 소매업,201901,0.5120381705313805
943,경기,부천시,슈퍼마켓,201901,15.195373086069194
944,경기,부천시,스포츠 및 레크레이션 용품 임대업,201901,0.9726642454944284
945,경기,부천시,여관업,201901,0.6416808879420408
946,경기,부천시,여행사업,201901,0.007106388594227633
947,경기,부천시,욕탕업,201901,0.4654736845514643
948,경기,부천시,육류 소매업,201901,2.898420158487772
949,경기,부천시,일반유흥 주점업,201901,1.4351437674906966
950,경기,부천시,일식 음식점업,201901,1.3450475161137054
951,경기,부천시,자동차 임대업,201901,0.001146705278900602
952,경기,부천시,전시 및 행사 대행업,201901,0.045812223541495646
953,경기,부천시,중식 음식점업,201901,1.73166331194626
954,경기,부천시,차량용 가스 충전업,201901,0.14819047241061203
955,경기,부천시,차량용 주유소 운영업,201901,7.331986900004442
956,경기,부천시,체인화 편의점,201901,9.198622919058257
957,경기,부천시,택시 운송업,201901,0.004054164129276311
958,경기,부천시,피자 햄버거 샌드위치 및 유사 음식점업,201901,2.1329618248113675
959,경기,부천시,한식 음식점업,201901,25.63528374769517
960,경기,부천시,호텔업,201901,0.014591657307755912
961,경기,부천시,화장품 및 방향제 소매업,201901,1.0497922362422762
962,경기,성남시 분당구,건강보조식품 소매업,201901,0.19423175176725654
963,경기,성남시 분당구,골프장 운영업,201901,0.12813274790555024
964,경기,성남시 분당구,과실 및 채소 소매업,201901,0.6000880619172523
965,경기,성남시 분당구,관광 민예품 및 선물용품 소매업,201901,0.008836143915360405
966,경기,성남시 분당구,그외 기타 스포츠시설 운영업,201901,0.004936079237957584
967,경기,성남시 분당구,그외 기타 종합 소매업,201901,4.858861329821506
968,경기,성남시 분당구,기타 대형 종합 소매업,201901,22.83576273491915
969,경기,성남시 분당구,기타 외국식 음식점업,201901,1.370974986572548
970,경기,성남시 분당구,기타 주점업,201901,0.08230631089586106
971,경기,성남시 분당구,기타음식료품위주종합소매업,201901,0.5544871030654241
972,경기,성남시 분당구,마사지업,201901,0.09067414046116058
